"slug","title","year","director","runtime","imdb","tmdb","times_picked","imdb_url","lb_url"
"experimental-treatment-of-a-hemorrhage-in-a-dog","Experimental Treatment of a Hemorrhage in a Dog","1930","Jean Painlevé","4","tt1446199","117591","1","https://www.imdb.com/title/tt1446199/","https://letterboxd.com/film/experimental-treatment-of-a-hemorrhage-in-a-dog/"
"the-big-chill","The Big Chill","1983","Lawrence Kasdan","105","tt0085244","12560","7","https://www.imdb.com/title/tt0085244/","https://letterboxd.com/film/the-big-chill/"
"pan-3","Pan 3","1974","Hollis Frampton","2","tt2187015","154518","1","https://www.imdb.com/title/tt2187015/","https://letterboxd.com/film/pan-3/"
"rumble-fish","Rumble Fish","1983","Francis Ford Coppola","94","tt0086216","232","6","https://www.imdb.com/title/tt0086216/","https://letterboxd.com/film/rumble-fish/"
"shaft","Shaft","1971","Gordon Parks","100","tt0067741","482","2","https://www.imdb.com/title/tt0067741/","https://letterboxd.com/film/shaft/"
"malcolm-x","Malcolm X","1972","Arnold Perl","91","tt0068903","46898","1","https://www.imdb.com/title/tt0068903/","https://letterboxd.com/film/malcolm-x/"
"the-new-land","The New Land","1972","Jan Troell","202","tt0069035","42488","1","https://www.imdb.com/title/tt0069035/","https://letterboxd.com/film/the-new-land/"
"beyond-the-law-1968-1","Beyond the Law","1968","Norman Mailer","110","tt0169606","117426","1","https://www.imdb.com/title/tt0169606/","https://letterboxd.com/film/beyond-the-law-1968-1/"
"fearless-hyena-2","Fearless Hyena 2","1983","Chan Chuen","92","tt0085864","18741","4","https://www.imdb.com/title/tt0085864/","https://letterboxd.com/film/fearless-hyena-2/"
"les-3-boutons","Les 3 Boutons","2015","Agnès Varda","11","tt4998170","358341","4","https://www.imdb.com/title/tt4998170/","https://letterboxd.com/film/les-3-boutons/"
"young-mr-lincoln","Young Mr. Lincoln","1939","John Ford","100","tt0032155","43838","1","https://www.imdb.com/title/tt0032155/","https://letterboxd.com/film/young-mr-lincoln/"
"secret-sunshine","Secret Sunshine","2007","Lee Chang-dong","143","tt0817225","2015","2","https://www.imdb.com/title/tt0817225/","https://letterboxd.com/film/secret-sunshine/"
"stranger-than-paradise","Stranger Than Paradise","1984","Jim Jarmusch","90","tt0088184","469","6","https://www.imdb.com/title/tt0088184/","https://letterboxd.com/film/stranger-than-paradise/"
"street-without-end","Street Without End","1934","Mikio Naruse","87","tt0025338","126517","1","https://www.imdb.com/title/tt0025338/","https://letterboxd.com/film/street-without-end/"
"the-eight-mountains","The Eight Mountains","2022","Felix van Groeningen, Charlotte Vandermeersch","147","tt14641542","803700","1","https://www.imdb.com/title/tt14641542/","https://letterboxd.com/film/the-eight-mountains/"
"red-beard","Red Beard","1965","Akira Kurosawa","185","tt0058888","3780","2","https://www.imdb.com/title/tt0058888/","https://letterboxd.com/film/red-beard/"
"place-de-la-republique","Place de la République","1974","Louis Malle","94","tt0071999","112633","5","https://www.imdb.com/title/tt0071999/","https://letterboxd.com/film/place-de-la-republique/"
"stress-positions","Stress Positions","2024","Theda Hammel","95","tt30319533","1214474","1","https://www.imdb.com/title/tt30319533/","https://letterboxd.com/film/stress-positions/"
"just-another-girl-on-the-irt","Just Another Girl on the I.R.T.","1992","Leslie Harris","92","tt0104575","124088","1","https://www.imdb.com/title/tt0104575/","https://letterboxd.com/film/just-another-girl-on-the-irt/"
"kicking-and-screaming","Kicking and Screaming","1995","Noah Baumbach","96","tt0113537","28387","2","https://www.imdb.com/title/tt0113537/","https://letterboxd.com/film/kicking-and-screaming/"
"here-comes-mr-jordan","Here Comes Mr. Jordan","1941","Alexander Hall","94","tt0033712","38914","1","https://www.imdb.com/title/tt0033712/","https://letterboxd.com/film/here-comes-mr-jordan/"
"cartesius","Cartesius","1974","Roberto Rossellini","165","tt0161382","","3","https://www.imdb.com/title/tt0161382/","https://letterboxd.com/film/cartesius/"
"the-breaking-ice","The Breaking Ice","2023","Anthony Chen","100","tt17052842","923150","1","https://www.imdb.com/title/tt17052842/","https://letterboxd.com/film/the-breaking-ice/"
"the-docks-of-new-york","The Docks of New York","1928","Josef von Sternberg","76","tt0018839","885","1","https://www.imdb.com/title/tt0018839/","https://letterboxd.com/film/the-docks-of-new-york/"
"lisa-frankenstein","Lisa Frankenstein","2024","Zelda Williams","102","tt21188080","993784","1","https://www.imdb.com/title/tt21188080/","https://letterboxd.com/film/lisa-frankenstein/"
"babo-73","Babo 73","1964","Robert Downey Sr.","57","tt0138311","112448","2","https://www.imdb.com/title/tt0138311/","https://letterboxd.com/film/babo-73/"
"all-about-eve","All About Eve","1950","Joseph L. Mankiewicz","139","tt0042192","705","9","https://www.imdb.com/title/tt0042192/","https://letterboxd.com/film/all-about-eve/"
"la-cienaga","La Ciénaga","2001","Lucrecia Martel","101","tt0240419","58429","7","https://www.imdb.com/title/tt0240419/","https://letterboxd.com/film/la-cienaga/"
"cameraperson","Cameraperson","2016","Kirsten Johnson","102","tt5375040","376534","2","https://www.imdb.com/title/tt5375040/","https://letterboxd.com/film/cameraperson/"
"through-the-olive-trees","Through the Olive Trees","1994","Abbas Kiarostami","104","tt0111845","47104","7","https://www.imdb.com/title/tt0111845/","https://letterboxd.com/film/through-the-olive-trees/"
"all-quiet-on-the-western-front-2022","All Quiet on the Western Front","2022","Edward Berger","147","tt1016150","49046","1","https://www.imdb.com/title/tt1016150/","https://letterboxd.com/film/all-quiet-on-the-western-front-2022/"
"house","House","1977","Nobuhiko Obayashi","88","tt0076162","25623","11","https://www.imdb.com/title/tt0076162/","https://letterboxd.com/film/house/"
"saint-omer","Saint Omer","2022","Alice Diop","123","tt15376894","925943","5","https://www.imdb.com/title/tt15376894/","https://letterboxd.com/film/saint-omer/"
"the-ascent","The Ascent","1977","Larisa Shepitko","110","tt0075404","50183","7","https://www.imdb.com/title/tt0075404/","https://letterboxd.com/film/the-ascent/"
"la-promesse","La Promesse","1996","Jean-Pierre Dardenne, Luc Dardenne","94","tt0117398","24183","1","https://www.imdb.com/title/tt0117398/","https://letterboxd.com/film/la-promesse/"
