"id","title","link"
"35","Jean-Pierre Gorin’s Top 10","https://www.criterion.com/current/top-10-lists/35-jean-pierre-gorins-top-10"
"34","Bruce Goldstein’s Top 10","https://www.criterion.com/current/top-10-lists/34-bruce-goldsteins-top-10"
"32","Matt Dentler’s Top 10","https://www.criterion.com/current/top-10-lists/32-matt-dentlers-top-10"
"33","Gary Giddins’s Top 10","https://www.criterion.com/current/top-10-lists/33-gary-giddinss-top-10"
"31","Peter Cowie’s Top 10","https://www.criterion.com/current/top-10-lists/31-peter-cowies-top-10"
"30","Stuart Cooper’s Top 10","https://www.criterion.com/current/top-10-lists/30-stuart-coopers-top-10"
"29","Diablo Cody’s Top 10","https://www.criterion.com/current/top-10-lists/29-diablo-codys-top-10"
"28","Jane Campion’s Top 10","https://www.criterion.com/current/top-10-lists/28-jane-campions-top-10"
"27","Steve Buscemi’s Top 10","https://www.criterion.com/current/top-10-lists/27-steve-buscemis-top-10"
"26","Michael Barker’s Top 10","https://www.criterion.com/current/top-10-lists/26-michael-barkers-top-10"
"25","Ramin Bahrani’s Top 10","https://www.criterion.com/current/top-10-lists/25-ramin-bahranis-top-10"
"24","Allan Arkush’s Top 10","https://www.criterion.com/current/top-10-lists/24-allan-arkushs-top-10"
"23","Allison Anders’s Top 10","https://www.criterion.com/current/top-10-lists/23-allison-anderss-top-10"
"13","Jonathan Lethem’s Top 10","https://www.criterion.com/current/top-10-lists/13-jonathan-lethems-top-10"
"2","Mike Allred’s Top 10","https://www.criterion.com/current/top-10-lists/2-mike-allreds-top-10"
