"selector_label","title","director","criterion_url","source","published_rank"
"Dana Calvo","The Unbearable Lightness of Being","Philip Kaufman","https://www.criterion.com/films/600-the-unbearable-lightness-of-being","https://github.com/brittonwalker/criterion-top-ten",""
"Dave Filipi","The Unbearable Lightness of Being","Philip Kaufman","https://www.criterion.com/films/600-the-unbearable-lightness-of-being","https://github.com/brittonwalker/criterion-top-ten",""
"Dana Calvo","Traffic","Steven Soderbergh","https://www.criterion.com/films/381-traffic","https://github.com/brittonwalker/criterion-top-ten",""
"Troy Miller","Traffic","Steven Soderbergh","https://www.criterion.com/films/381-traffic","https://github.com/brittonwalker/criterion-top-ten",""
"Dana Calvo","The Manchurian Candidate","John Frankenheimer","https://www.criterion.com/films/28784-the-manchurian-candidate","https://github.com/brittonwalker/criterion-top-ten",""
"Dana Calvo","Boyhood","Richard Linklater","https://www.criterion.com/films/28820-boyhood","https://github.com/brittonwalker/criterion-top-ten",""
"Clea DuVall","Short Cuts","Robert Altman","https://www.criterion.com/films/376-short-cuts","https://github.com/brittonwalker/criterion-top-ten",""
"Marc Maron","Short Cuts","Robert Altman","https://www.criterion.com/films/376-short-cuts","https://github.com/brittonwalker/criterion-top-ten",""
" John Taylor","Short Cuts","Robert Altman","https://www.criterion.com/films/376-short-cuts","https://github.com/brittonwalker/criterion-top-ten",""
"Oren Moverman","Short Cuts","Robert Altman","https://www.criterion.com/films/376-short-cuts","https://github.com/brittonwalker/criterion-top-ten",""
"Steve Buscemi","Short Cuts","Robert Altman","https://www.criterion.com/films/376-short-cuts","https://github.com/brittonwalker/criterion-top-ten",""
"Clea DuVall","The Big Chill","Lawrence Kasdan","https://www.criterion.com/films/28610-the-big-chill","https://github.com/brittonwalker/criterion-top-ten",""
"Marc Maron","The Big Chill","Lawrence Kasdan","https://www.criterion.com/films/28610-the-big-chill","https://github.com/brittonwalker/criterion-top-ten",""
"Alton Brown","Babette’s Feast","Gabriel Axel","https://www.criterion.com/films/27894-babettes-feast","https://github.com/brittonwalker/criterion-top-ten",""
"Alton Brown","Yojimbo","Akira Kurosawa","https://www.criterion.com/films/597-yojimbo","https://github.com/brittonwalker/criterion-top-ten",""
"Scott Morse’s Top Ten","Yojimbo","Akira Kurosawa","https://www.criterion.com/films/597-yojimbo","https://github.com/brittonwalker/criterion-top-ten",""
"Johnnie To","Yojimbo","Akira Kurosawa","https://www.criterion.com/films/597-yojimbo","https://github.com/brittonwalker/criterion-top-ten",""
"Iron and Wine","Yojimbo","Akira Kurosawa","https://www.criterion.com/films/597-yojimbo","https://github.com/brittonwalker/criterion-top-ten",""
"Caitlin Kuhwald","Yojimbo","Akira Kurosawa","https://www.criterion.com/films/597-yojimbo","https://github.com/brittonwalker/criterion-top-ten",""
"Adam Yauch","Yojimbo","Akira Kurosawa","https://www.criterion.com/films/597-yojimbo","https://github.com/brittonwalker/criterion-top-ten",""
"Zach Clark","Tout va bien","Jean-Luc Godard and Jean-Pierre Gorin","https://www.criterion.com/films/929-tout-va-bien","https://github.com/brittonwalker/criterion-top-ten",""
"Terence Nance","Black Panthers","Agnès Varda","https://www.criterion.com/films/28627-black-panthers","https://github.com/brittonwalker/criterion-top-ten",""
"Terence Nance","The Life Aquatic with Steve Zissou","Wes Anderson","https://www.criterion.com/films/741-the-life-aquatic-with-steve-zissou","https://github.com/brittonwalker/criterion-top-ten",""
"Flying Lotus","The Life Aquatic with Steve Zissou","Wes Anderson","https://www.criterion.com/films/741-the-life-aquatic-with-steve-zissou","https://github.com/brittonwalker/criterion-top-ten",""
"Adam Yauch","The Life Aquatic with Steve Zissou","Wes Anderson","https://www.criterion.com/films/741-the-life-aquatic-with-steve-zissou","https://github.com/brittonwalker/criterion-top-ten",""
"Frank Kozik","The Life Aquatic with Steve Zissou","Wes Anderson","https://www.criterion.com/films/741-the-life-aquatic-with-steve-zissou","https://github.com/brittonwalker/criterion-top-ten",""
"Terence Nance","The Darjeeling Limited","Wes Anderson","https://www.criterion.com/films/27520-the-darjeeling-limited","https://github.com/brittonwalker/criterion-top-ten",""
