rank,title,year,director,times_picked,lb_rating,imdb_rating,imdb_votes,imdb
666,The Dante Quartet,1987,Stan Brakhage,3,3.88,6.8,1321,tt0092828
667,"sex, lies, and videotape",1989,Steven Soderbergh,3,3.88,7.2,64810,tt0098724
668,Cold Water,1994,Olivier Assayas,3,3.71,6.9,2508,tt0109702
669,The Hero,1966,Satyajit Ray,3,4.13,8.3,6144,tt0060742
670,"Now, Voyager",1942,Irving Rapper,3,3.95,7.8,20874,tt0035140
671,Knife in the Water,1962,Roman Polanski,3,3.78,7.4,25214,tt0056291
672,Window Water Baby Moving,1959,Stan Brakhage,3,4.01,7.5,2612,tt0138941
673,Violence at Noon,1966,Nagisa Ōshima,3,3.72,7,1320,tt0060486
674,The Wonder Ring,1955,Stan Brakhage,3,3.53,6,784,tt0278151
675,The Life and Death of Colonel Blimp,1943,"Emeric Pressburger, Michael Powell",3,4.24,8,18306,tt0036112
676,Bigger Than Life,1956,Nicholas Ray,3,3.95,7.4,8851,tt0049010
677,Pandora's Box,1929,Georg Wilhelm Pabst,3,3.87,7.7,12955,tt0018737
678,The Mammals of Victoria,1994,Stan Brakhage,3,3.69,5.8,233,tt0280911
679,Pierrot le Fou,1965,Jean-Luc Godard,3,4.03,7.4,40284,tt0059592
680,Europa,1991,Lars von Trier,3,3.91,7.5,24714,tt0101829
681,Céline and Julie Go Boating,1974,Jacques Rivette,3,4.19,7.2,7127,tt0071381
682,Day of Wrath,1943,Carl Theodor Dreyer,3,4.2,8,12078,tt0036506
683,The New World,2005,Terrence Malick,3,3.8,6.7,93891,tt0402399
684,Dog Star Man: Part IV,1964,Stan Brakhage,3,3.62,6.2,1230,tt0058026
685,Sweetie,1989,Jane Campion,3,3.48,6.7,5902,tt0098725
686,Ceddo,1977,Ousmane Sembène,3,3.63,6.6,1331,tt0077309
687,Fail Safe,1964,Sidney Lumet,3,4.29,8,28046,tt0058083
688,Yojimbo,1961,Akira Kurosawa,3,4.3,8.2,143614,tt0055630
689,Miracle in Milan,1951,Vittorio De Sica,3,3.91,7.6,9446,tt0043809
690,Bad Timing,1980,Nicolas Roeg,3,3.67,6.9,10404,tt0080408
691,Japanese Summer: Double Suicide,1967,Nagisa Ōshima,3,3.6,6.7,989,tt0062009
692,Island of Lost Souls,1932,Erle C. Kenton,3,3.68,7.3,12322,tt0024188
693,Two: Creeley/McClure,1965,Stan Brakhage,3,3.3,5.3,362,tt0281313
694,Town Bloody Hall,1979,"Chris Hegedus, D. A. Pennebaker",3,3.72,7.2,483,tt0217853
695,Visions in Meditation #3: Plato's Cave,1990,Stan Brakhage,3,3.53,5.8,248,tt0281353
696,Pariah,2011,Dee Rees,3,4.05,7.2,8088,tt1233334
697,Three Resurrected Drunkards,1968,Nagisa Ōshima,3,3.5,6.4,771,tt0063169
698,Revenge,1990,Yermek Shinarbayev,3,3.74,7.2,813,tt0102497
699,The Tales of Hoffmann,1951,"Michael Powell, Emeric Pressburger",3,3.83,7.1,4605,tt0044103
700,Gomorrah,2008,Matteo Garrone,3,3.73,7,53292,tt0929425
701,Diamonds of the Night,1964,Jan Němec,3,3.93,7.3,3232,tt0058001
702,The Innocents,1961,Jack Clayton,3,4.12,7.7,36279,tt0055018
703,The Prince of Tides,1991,Barbra Streisand,3,3.37,6.8,21516,tt0102713
704,The Dead,1960,Stan Brakhage,3,3.39,5.4,481,tt0233534
705,Bound,1996,"Lana Wachowski, Lilly Wachowski",3,4.03,7.3,67606,tt0115736
706,Cartesius,1974,Roberto Rossellini,3,3.6,6.8,522,tt0161382
707,King Lear,1987,Jean-Luc Godard,3,3.54,5.5,1757,tt0093349
708,Cat's Cradle,1959,Stan Brakhage,3,3.43,5.9,1056,tt0277617
709,Mississippi Masala,1991,Mira Nair,3,3.91,6.8,7513,tt0102456
710,My Winnipeg,2007,Guy Maddin,3,3.97,7.5,6047,tt1093842
711,The Fugitive Kind,1960,Sidney Lumet,3,3.54,7,8281,tt0052832
712,Pixote,1980,Héctor Babenco,3,4.2,7.9,10931,tt0082912
713,"Thelonious Monk: Straight, No Chaser",1988,Charlotte Zwerin,3,3.81,7.5,1479,tt0098465
714,Duplicity III,1980,Stan Brakhage,3,3.37,5.6,224,tt0279055
715,This Sporting Life,1963,Lindsay Anderson,3,3.78,7.5,7681,tt0057578
716,Tanner '88,1988,Robert Altman,3,3.74,7.8,1044,tt0094562
717,Targets,1968,Peter Bogdanovich,3,3.96,7.3,13795,tt0063671
718,Canoa: A Shameful Memory,1975,Felipe Cazals,3,4.13,7.8,2199,tt0131335
719,Blind Chance,1987,Krzysztof Kieślowski,3,4,7.7,12317,tt0084549
720,Humanité,1999,Bruno Dumont,3,3.7,6.8,5404,tt0197569
721,Drive My Car,2021,Ryusuke Hamaguchi,3,4.2,7.5,77218,tt14039582
722,Poto and Cabengo,1979,Jean-Pierre Gorin,3,3.59,7.1,459,tt0196866
723,Symbiopsychotaxiplasm: Take 2½,2005,William Greaves,3,3.26,6.4,460,tt0436811
724,Dead Man,1995,Jim Jarmusch,3,3.92,7.5,109384,tt0112817
725,Wrong Move,1975,Wim Wenders,3,3.44,6.8,4570,tt0071483
726,I Take These Truths,1995,Stan Brakhage,3,3.57,6.3,203,tt0113370
727,Blaise Pascal,1972,Roberto Rossellini,3,3.88,7,699,tt0066839
728,Brute Force,1947,Jules Dassin,3,3.84,7.5,12785,tt0039224
729,The Last Waltz,1978,Martin Scorsese,3,4.27,8.1,22217,tt0077838
730,Spartacus,1960,Stanley Kubrick,3,3.87,7.9,151464,tt0054331
731,Visions in Meditation #2: Mesa Verde,1989,Stan Brakhage,3,3.53,5.8,245,tt0280186
732,Vanya on 42nd Street,1994,Louis Malle,3,3.85,7.3,5675,tt0111590
733,I Am Cuba,1964,Mikhail Kalatozov,3,4.46,8.2,12426,tt0058604
734,Perfect Days,2023,Wim Wenders,3,4.31,7.9,107626,tt27503384
735,Nothing But a Man,1964,Michael Roemer,3,4.09,7.9,2487,tt0058414
736,The Breakfast Club,1985,John Hughes,3,3.76,7.8,474289,tt0088847
737,Study in Color and Black and White,1993,Stan Brakhage,3,2.99,4.9,647,tt0281236
738,Persian Series #3,1999,Stan Brakhage,3,3.44,5.6,426,tt0280022
739,Untitled (For Marilyn),1992,Stan Brakhage,3,3.93,6.4,599,tt0281325
740,Inside Llewyn Davis,2013,"Joel Coen, Ethan Coen",3,4.02,7.4,172420,tt2042568
741,The Thin Red Line,1998,Terrence Malick,3,4.09,7.6,212556,tt0120863
742,All That Heaven Allows,1955,Douglas Sirk,3,4.07,7.6,18671,tt0047811
743,Unconscious London Strata,1981,Stan Brakhage,3,3.52,5.2,238,tt0279492
744,Daddy Longlegs,2009,"Benny Safdie, Josh Safdie",3,3.78,6.9,3473,tt1426362
745,Persian Series #2,1999,Stan Brakhage,3,3.52,5.8,424,tt0280021
746,Tout Va Bien,1972,"Jean-Luc Godard, Jean-Pierre Gorin",3,3.64,6.5,4172,tt0069398
747,The Garden of Earthly Delights,1981,Stan Brakhage,3,3.63,6.3,933,tt0082437
748,Dog Star Man: Part II,1964,Stan Brakhage,3,3.64,6.3,1246,tt0284060
749,The Manchurian Candidate,1962,John Frankenheimer,3,4,7.9,84926,tt0056218
750,Gertrud,1964,Carl Theodor Dreyer,3,3.94,7.3,7379,tt0058138
751,The 39 Steps,1935,Alfred Hitchcock,3,3.77,7.6,66388,tt0026029
752,Repulsion,1965,Roman Polanski,3,3.91,7.5,61474,tt0059646
753,Mothlight,1963,Stan Brakhage,3,3.56,6.2,3065,tt0057324
754,After the Curfew,1954,Usmar Ismail,3,3.71,7.2,884,tt0045997
755,&quot;...&quot; Reel 5,1998,Stan Brakhage,3,3.09,5.4,257,tt0225002
756,Le Cercle Rouge,1970,Jean-Pierre Melville,3,4.21,7.9,31852,tt0065531
757,The Human Condition III: A Soldier's Prayer,1961,Masaki Kobayashi,3,4.66,8.8,8889,tt0055233
758,Crossing Delancey,1988,Joan Micklin Silver,3,3.76,7,6154,tt0094921
759,The Girls,1968,Mai Zetterling,3,3.83,6.7,1224,tt0062981
760,Winchester '73,1950,Anthony Mann,3,3.88,7.6,23162,tt0043137
761,Dog Star Man,1965,Stan Brakhage,3,4,6.2,1551,tt5896468
762,The Domain of the Moment,1977,Stan Brakhage,3,3.4,5.9,233,tt0278417
763,Blow Out,1981,Brian De Palma,3,4.09,7.4,76784,tt0082085
764,The Honeymoon Killers,1970,Leonard Kastle,3,3.62,6.9,6464,tt0064437
765,Il Sorpasso,1962,Dino Risi,3,4.26,8.2,14526,tt0056512
766,Querelle,1982,Rainer Werner Fassbinder,3,3.68,6.6,8640,tt0084565
767,Crack Glass Eulogy,1991,Stan Brakhage,3,3.24,5.3,611,tt0280574
768,Mysterious Object at Noon,2000,Apichatpong Weerasethakul,3,3.69,6.7,1935,tt0269587
769,The Act of Seeing with One's Own Eyes,1972,Stan Brakhage,3,3.91,6.9,1805,tt0140788
770,Night Music,1986,Stan Brakhage,3,3.54,6,1019,tt0091633
771,I Am Curious (Yellow),1967,Vilgot Sjöman,3,3.37,6,4539,tt0061834
772,Dressed to Kill,1980,Brian De Palma,3,3.63,7,55659,tt0080661
773,Kings of the Road,1976,Wim Wenders,3,4.01,7.6,7282,tt0073152
774,Dog Star Man: Part III,1964,Stan Brakhage,3,3.62,6.2,1210,tt0284061
775,Downpour,1972,Bahram Beyzai,3,3.83,7.2,1236,tt0067649
776,Cronos,1992,Guillermo del Toro,3,3.41,6.7,36670,tt0104029
777,The Horse's Mouth,1958,Ronald Neame,3,3.49,6.9,4159,tt0051739
778,Persian Series #1,1999,Stan Brakhage,3,3.27,5.3,443,tt0280017
779,Rage Net,1988,Stan Brakhage,3,3.37,5.8,855,tt0095950
780,Macbeth,1971,Roman Polanski,3,3.72,7.4,16120,tt0067372
781,Harakiri,1962,Masaki Kobayashi,3,4.68,8.6,92129,tt0056058
782,Fishing with John,1991,John Lurie,3,4.16,8,1906,tt0139776
783,This Is Spinal Tap,1984,Rob Reiner,3,3.9,7.9,160735,tt0088258
784,Routine Pleasures,1986,Jean-Pierre Gorin,3,3.62,6.8,279,tt0274069
785,Yggdrasill: Whose Roots Are Stars in the Human Mind,1997,Stan Brakhage,3,3.65,5.7,266,tt0282269
786,The Spy Who Came In from the Cold,1965,Martin Ritt,3,3.91,7.5,20766,tt0059749
787,"Scenes from Under Childhood, Section One",1968,Stan Brakhage,3,3.57,5.8,379,tt0278012
788,Lucía,1968,Humberto Solás,3,3.88,7.1,1359,tt0064609
789,Dogfight,1991,Nancy Savoca,3,3.86,7.3,11346,tt0101748
790,The Age of the Medici,1972,Roberto Rossellini,3,3.84,7.1,386,tt0069684
791,Night Games,1966,Mai Zetterling,3,3.55,6.3,960,tt0060740
792,"It's a Mad, Mad, Mad, Mad World",1963,Stanley Kramer,3,3.71,7.5,51319,tt0057193
793,Tótem,2023,Lila Avilés,3,3.87,7,4189,tt26315142
794,Limite,1931,Mário Peixoto,3,3.76,7,3319,tt0022080
795,Kindering,1987,Stan Brakhage,3,3.2,5.4,718,tt0277784
796,The Celebration,1998,Thomas Vinterberg,3,4.32,8,100181,tt0154420
797,The Wold-Shadow,1972,Stan Brakhage,3,3.33,5.5,842,tt0069507
798,Tiny: The Life of Erin Blackwell,2016,Martin Bell,3,3.34,6.6,343,tt3505094
799,The Human Condition I: No Greater Love,1959,Masaki Kobayashi,3,4.58,8.5,11389,tt0053114
800,Jubilee,1978,Derek Jarman,3,3.42,5.9,4055,tt0076240
801,Tokyo Olympiad,1965,Kon Ichikawa,3,4.19,7.8,2465,tt0059817
802,George Washington,2000,David Gordon Green,3,3.81,7.2,8966,tt0262432
803,The War Room,1993,"D. A. Pennebaker, Chris Hegedus",3,3.83,7.4,4722,tt0108515
804,Carl Th. Dreyer: My Metier,1995,Torben Skjødt Jensen,3,3.34,6.7,541,tt0112631
805,Eating Raoul,1982,Paul Bartel,3,3.48,6.8,9970,tt0083869
806,Prelude: Dog Star Man,1962,Stan Brakhage,3,3.58,6.3,1560,tt0234512
807,Law of the Border,1966,Lütfi Akad,3,3.38,6.7,1352,tt0261739
808,Deep Cover,1992,Bill Duke,3,3.92,7,16635,tt0104073
809,Insiang,1976,Lino Brocka,3,4.06,7.5,2411,tt0077740
810,I... Dreaming,1988,Stan Brakhage,3,3.52,5.8,716,tt0180752
811,3:10 to Yuma,1957,Delmer Daves,3,3.93,7.6,23931,tt0050086
812,Alice in the Cities,1974,Wim Wenders,3,4.16,7.8,15204,tt0069687
813,Rosetta,1999,"Luc Dardenne, Jean-Pierre Dardenne",3,3.92,7.4,17225,tt0200071
814,Delicacies of Molten Horror Synapse,1991,Stan Brakhage,3,3.71,6,712,tt0101699
815,Burial Path,1978,Stan Brakhage,3,3.56,5.7,339,tt0278377
816,Two Monks,1934,Juan Bustillo Oro,3,3.59,7,919,tt0025062
817,Salvatore Giuliano,1962,Francesco Rosi,3,3.85,7.3,5984,tt0055399
818,Ordet,1955,Carl Theodor Dreyer,3,4.35,8.2,19000,tt0048452
819,From: First Hymn to the Night – Novalis,1994,Stan Brakhage,3,3.38,5.2,369,tt0280676
820,The Human Condition II: Road to Eternity,1959,Masaki Kobayashi,3,4.49,8.5,9125,tt0053115
821,Pink Flamingos,1972,John Waters,3,3.51,6,31120,tt0069089
822,Lovesong,2001,Stan Brakhage,3,3.65,6.2,604,tt0279202
823,The Cat of the Worm's Green Realm,1997,Stan Brakhage,3,3.68,5.7,256,tt0281701
824,Visions in Meditation #1,1989,Stan Brakhage,3,3.63,5.7,260,tt0280185
825,Häxan,1922,Benjamin Christensen,3,4.05,7.6,19330,tt0013257
826,Desistfilm,1954,Stan Brakhage,3,3.24,5.7,1057,tt0046904
827,Design for Living,1933,Ernst Lubitsch,3,3.93,7.4,8629,tt0023940
828,Wings,1966,Larisa Shepitko,3,3.9,7.5,2597,tt0061196
829,Star Garden,1974,Stan Brakhage,3,3.71,5.8,281,tt0278737
830,The Machine of Eden,1970,Stan Brakhage,3,3.48,5.9,364,tt0213831
831,Shoah,1985,Claude Lanzmann,3,4.53,8.7,11644,tt0090015
832,Breaker Morant,1980,Bruce Beresford,3,3.97,7.8,15480,tt0080310
833,You Can Count on Me,2000,Kenneth Lonergan,3,3.93,7.5,33507,tt0203230
834,Soleil O,1970,Med Hondo,3,4.05,7.3,1103,tt0062285
835,Loving Couples,1964,Mai Zetterling,3,3.71,6.7,938,tt0058780
836,Brand Upon the Brain!,2006,Guy Maddin,3,3.91,7.3,3881,tt0443455
837,Mandabi,1968,Ousmane Sembène,3,3.82,7.3,1797,tt0063268
838,Medium Cool,1969,Haskell Wexler,3,3.81,7.2,5215,tt0064652
839,Boulder Blues and Pearls and...,1993,Stan Brakhage,3,3.6,6,245,tt0280499
840,My Crasy Life,1992,Jean-Pierre Gorin,3,3.6,6.8,224,tt0104953
841,Written on the Wind,1956,Douglas Sirk,3,3.88,7.3,15129,tt0049966
842,Glaze of Cathexis,1990,Stan Brakhage,3,3.51,5.8,801,tt0099668
843,The Stars Are Beautiful,1974,Stan Brakhage,3,3.31,5.5,567,tt0278740
844,The Dark Tower,1999,Stan Brakhage,3,3.38,5.7,766,tt0277657
845,Xala,1975,Ousmane Sembène,3,3.52,6.7,2198,tt0073915
846,Visions in Meditation #4: D.H. Lawrence,1990,Stan Brakhage,3,3.53,5.5,241,tt0281354
847,Eye Myth,1967,Stan Brakhage,3,3.35,5.9,1202,tt0068560
848,The Power of the Dog,2021,Jane Campion,3,3.66,6.8,241618,tt10293406
849,Dog Star Man: Part I,1963,Stan Brakhage,3,3.54,6,1628,tt0058025
850,Desert,1976,Stan Brakhage,3,3.5,5.6,290,tt0278411
851,Something Wild,1961,Jack Garfein,3,3.38,6.7,1971,tt0055464
852,Comingled Containers,1996,Stan Brakhage,3,3.82,6.5,936,tt0281737
853,The Truth,1960,Henri-Georges Clouzot,3,4.02,7.6,5539,tt0054452
854,Veronika Voss,1982,Rainer Werner Fassbinder,3,3.91,7.6,8347,tt0084654
855,Taipei Story,1985,Edward Yang,3,4.04,7.6,4892,tt0089866
856,The Process,1972,Stan Brakhage,3,3.2,4.8,289,tt0278649
857,The Others,2001,Alejandro Amenábar,3,3.79,7.6,428149,tt0230600
858,Real Life,1979,Albert Brooks,3,3.83,7,4690,tt0079781
859,Pleasures of the Flesh,1965,Nagisa Ōshima,3,3.55,6.8,1837,tt0059159
860,Multiple Maniacs,1970,John Waters,3,3.62,6.5,5238,tt0067454
861,Lola,1981,Rainer Werner Fassbinder,3,3.8,7.4,7455,tt0082671
862,Tie Me Up! Tie Me Down!,1989,Pedro Almodóvar,3,3.54,7,33584,tt0101026
863,Beauty and the Beast,1946,Jean Cocteau,3,4.08,7.9,29901,tt0038348
864,The Fiancés,1963,Ermanno Olmi,3,3.9,7.5,2619,tt0055981
865,Murder Psalm,1980,Stan Brakhage,3,3.55,6.2,338,tt0141625
866,Working Girls,1986,Lizzie Borden,3,3.87,6.8,2621,tt0092238
867,Chinese Series,2003,Stan Brakhage,3,3.43,5,516,tt0380263
868,Stellar,1993,Stan Brakhage,3,3.69,6.4,1032,tt0281228
869,Shock Corridor,1963,Samuel Fuller,3,3.89,7.3,14061,tt0057495
870,Black Ice,1994,Stan Brakhage,3,3.65,6.4,1164,tt0109283
871,Arabic Numeral Series 12,1981,Stan Brakhage,3,3.3,5.1,223,tt0278930
872,Detour,1945,Edgar G. Ulmer,2,3.81,7.3,22198,tt0037638
873,Eyes Wide Shut,1999,Stanley Kubrick,2,3.99,7.5,432153,tt0120663
874,Prince of Broadway,2008,Sean Baker,2,3.85,7.2,1733,tt1000769
875,The X from Outer Space,1967,Kazui Nihonmatsu,2,2.79,4.8,1718,tt0062411
876,Beyond the Hills,2012,Cristian Mungiu,2,3.9,7.5,13929,tt2258281
877,Jigoku,1960,Nobuo Nakagawa,2,3.62,6.7,5075,tt0154683
878,Lola Montès,1955,Max Ophüls,2,3.94,7.2,6675,tt0048308
879,Putney Swope,1969,Robert Downey Sr.,2,3.67,6.7,4786,tt0064855
880,The Asphalt Jungle,1950,John Huston,2,3.86,7.8,33057,tt0042208
881,Code Unknown,2000,Michael Haneke,2,3.8,7.1,16469,tt0216625
882,Destry Rides Again,1939,George Marshall,2,3.81,7.6,13550,tt0031225
883,Made in U.S.A,1966,Jean-Luc Godard,2,3.3,6.2,4930,tt0060647
884,The Long Good Friday,1980,John Mackenzie,2,3.94,7.5,29808,tt0081070
885,Kiss Me Deadly,1955,Robert Aldrich,2,3.99,7.5,23781,tt0048261
886,Pee-wee's Big Adventure,1985,Tim Burton,2,3.52,7.1,63660,tt0089791
887,The Inspection,2022,Elegance Bratton,2,3.37,6.7,6153,tt13495458
888,No More Excuses,1968,Robert Downey Sr.,2,3.41,6.2,362,tt0251300
889,Women in Love,1969,Ken Russell,2,3.77,7.1,9785,tt0066579
890,One Night in Miami...,2020,Regina King,2,3.68,7.1,36042,tt10612922
891,Genocide,1968,Kazui Nihonmatsu,2,2.82,4.7,834,tt0063195
892,The Killers,1964,Don Siegel,2,3.59,7,10477,tt0058262
893,The Heiress,1949,William Wyler,2,4.18,8.1,19078,tt0041452
894,Blood for Dracula,1974,Paul Morrissey,2,3.21,6.1,7611,tt0071233
895,Flesh for Frankenstein,1973,Paul Morrissey,2,3.24,5.8,7847,tt0071508
896,if....,1968,Lindsay Anderson,2,3.78,7.4,26526,tt0063850
897,Le Silence de la mer,1949,Jean-Pierre Melville,2,3.91,7.6,6236,tt0039822
898,The Furies,1950,Anthony Mann,2,3.71,7.2,4360,tt0042490
899,Hamlet,1948,Laurence Olivier,2,3.74,7.5,19995,tt0040416
900,Judex,1963,Georges Franju,2,3.62,7,3192,tt0057207
901,Graduation,2016,Cristian Mungiu,2,3.74,7.3,15600,tt4936450
902,Desert Hearts,1985,Donna Deitch,2,3.81,7.1,8585,tt0089015
903,Downhill Racer,1969,Michael Ritchie,2,3.36,6.3,6530,tt0064253
904,Living Skeleton,1968,Hiroshi Matsuno,2,3.3,6.3,942,tt0203635
905,L'Atalante,1934,Jean Vigo,2,3.98,7.7,18708,tt0024844
906,Peeping Tom,1960,Michael Powell,2,4.03,7.6,43975,tt0054167
907,The Proud Valley,1940,Pen Tennyson,2,3.43,6.6,680,tt0031828
908,In Cold Blood,1967,Richard Brooks,2,4.14,7.9,31842,tt0061809
909,Cooley High,1975,Michael Schultz,2,3.67,7.1,6250,tt0072820
910,The Kid with a Bike,2011,"Luc Dardenne, Jean-Pierre Dardenne",2,3.9,7.4,29566,tt1827512
911,Mangrove,2020,Steve McQueen,2,4.11,8,6167,tt10551100
912,Frownland,2007,Ronald Bronstein,2,3.68,6.3,989,tt0970935
913,Charade,1963,Stanley Donen,2,4.04,7.8,93850,tt0056923
914,Emperor Jones,1933,Dudley Murphy,2,3.36,6.4,1431,tt0023985
915,White Dog,1982,Samuel Fuller,2,3.7,7,11682,tt0084899
916,Great Expectations,1946,David Lean,2,3.8,7.8,28423,tt0038574
917,Baal,1970,Volker Schlöndorff,2,3.51,6.3,1072,tt0065440
918,Robinson Crusoe on Mars,1964,Byron Haskin,2,3.14,6.4,7670,tt0058530
919,Infernal Affairs,2002,"Alan Mak Siu-Fai, Andrew Lau Wai-Keung",2,4.05,8,138579,tt0338564
920,Pale Flower,1964,Masahiro Shinoda,2,4.03,7.7,5285,tt0056327
921,The Shooting,1966,Monte Hellman,2,3.54,6.4,7451,tt0062262
922,Sanders of the River,1935,Zoltan Korda,2,2.75,5.4,802,tt0026966
923,The Red Balloon,1956,Albert Lamorisse,2,4.11,8.1,21873,tt0048980
924,Katzelmacher,1969,Rainer Werner Fassbinder,2,3.45,6.8,3325,tt0064536
925,The Servant,1963,Joseph Losey,2,4.14,7.7,15935,tt0057490
926,They Live by Night,1948,Nicholas Ray,2,3.91,7.4,10406,tt0040872
927,Risky Business,1983,Paul Brickman,2,3.43,6.8,108605,tt0086200
928,Journey to the Beginning of Time,1955,Karel Zeman,2,3.58,7.1,3013,tt0047930
929,Not a Pretty Picture,1976,Martha Coolidge,2,4.04,7.3,313,tt0073467
930,A Raisin in the Sun,1961,Daniel Petrie,2,4.05,8,10549,tt0055353
931,Two Tons of Turquoise to Taos Tonight,1975,Robert Downey Sr.,2,3.27,5.5,267,tt0427550
932,Shaft,1971,Gordon Parks,2,3.47,6.6,23077,tt0067741
933,Secret Sunshine,2007,Lee Chang-dong,2,4.1,7.5,10808,tt0817225
934,Red Beard,1965,Akira Kurosawa,2,4.42,8.3,23511,tt0058888
935,Kicking and Screaming,1995,Noah Baumbach,2,3.36,6.6,16088,tt0113537
936,Babo 73,1964,Robert Downey Sr.,2,3.16,5.3,453,tt0138311
937,Cameraperson,2016,Kirsten Johnson,2,4.14,7.5,3659,tt5375040
938,Under the Volcano,1984,John Huston,2,3.52,6.8,6850,tt0088322
939,"4 Months, 3 Weeks and 2 Days",2007,Cristian Mungiu,2,4.25,7.9,66151,tt1032846
940,Richard III,1955,Laurence Olivier,2,3.71,7.3,5895,tt0049674
941,Funny Girl,1968,William Wyler,2,3.98,7.4,27503,tt0062994
942,The Rose,1979,Mark Rydell,2,3.6,7,9863,tt0079826
943,The Great Dictator,1940,Charlie Chaplin,2,4.33,8.4,258841,tt0032553
944,Still Walking,2008,Hirokazu Kore-eda,2,4.34,7.9,21113,tt1087578
945,Ingrid Bergman: In Her Own Words,2015,Stig Björkman,2,3.89,7.4,2670,tt4621016
946,La Bamba,1987,Luis Valdez,2,3.62,7,38537,tt0093378
947,Green for Danger,1946,Sidney Gilliat,2,3.56,7.3,6332,tt0038577
948,Mudbound,2017,Dee Rees,2,3.76,7.4,57728,tt2396589
949,The Organizer,1963,Mario Monicelli,2,4.09,8,3811,tt0056945
950,Chafed Elbows,1967,Robert Downey Sr.,2,3.48,6.2,559,tt0138355
951,The Gunfighter,1950,Henry King,2,4,7.7,14453,tt0042531
952,Branded to Kill,1967,Seijun Suzuki,2,3.87,7.2,11191,tt0061882
953,The Fabulous Baron Munchausen,1962,Karel Zeman,2,4.07,7.7,3615,tt0054665
954,Leningrad Cowboys Meet Moses,1994,Aki Kaurismäki,2,3.15,5.6,2052,tt0107384
955,The Magnificent Ambersons,1942,Orson Welles,2,3.89,7.6,28772,tt0035015
956,Comradeship,1931,Georg Wilhelm Pabst,2,3.83,7.5,2076,tt0022017
957,Harold and Maude,1971,Hal Ashby,2,4.11,7.8,85242,tt0067185
958,David Lynch: The Art Life,2016,"Jon Nguyen, Rick Barnes, Olivia Neergaard-Holm",2,3.83,7.2,7768,tt1691152
959,The Earrings of Madame de...,1953,Max Ophüls,2,4.08,7.8,12188,tt0046022
960,Taris,1931,Jean Vigo,2,3.54,6.7,2699,tt0022462
961,Total Balalaika Show,1994,Aki Kaurismäki,2,3.57,6.8,1062,tt0111460
962,Native Land,1942,"Leo Hurwitz, Paul Strand",2,3.37,6.3,411,tt0035112
963,Zero for Conduct,1933,Jean Vigo,2,3.74,7.2,10079,tt0024803
964,The Fabulous World of Jules Verne,1958,Karel Zeman,2,3.88,7.5,3175,tt0052374
965,Holiday,1938,George Cukor,2,3.97,7.7,20242,tt0030241
966,Alex Wheatle,2020,Steve McQueen,2,3.47,6.8,2670,tt10551104
967,Anora,2024,Sean Baker,2,3.78,7.4,295383,tt28607951
968,Hopscotch,1980,Ronald Neame,2,3.55,7.1,10086,tt0080889
969,A Touch of Zen,1970,King Hu,2,4.12,7.5,8278,tt0064451
970,Swing Time,1936,George Stevens,2,3.6,7.4,15632,tt0028333
971,Sorcerer,1977,William Friedkin,2,4.27,7.7,36804,tt0076740
972,Samurai Spy,1965,Masahiro Shinoda,2,3.61,7,2020,tt0059303
973,Ryuichi Sakamoto | Opus,2023,Neo Sora,2,4.23,8,1110,tt28490873
974,I Am Curious (Blue),1968,Vilgot Sjöman,2,3.35,6,1778,tt0063149
975,Gummo,1997,Harmony Korine,2,3.61,6.6,42083,tt0119237
976,Fox and His Friends,1975,Rainer Werner Fassbinder,2,4.03,7.5,7623,tt0072976
977,"Merry Christmas, Mr. Lawrence",1983,Nagisa Ōshima,2,3.94,7.2,22515,tt0085933
978,One False Move,1991,Carl Franklin,2,3.72,7.1,16570,tt0102592
979,F for Fake,1973,Orson Welles,2,4.21,7.7,19786,tt0072962
980,Rouge,1987,Stanley Kwan Kam-Pang,2,3.89,7.3,4193,tt0093258
981,Au Revoir les Enfants,1987,Louis Malle,2,4.21,8,38650,tt0092593
982,Merrily We Go to Hell,1932,Dorothy Arzner,2,3.6,6.9,2353,tt0023213
983,An Actor's Revenge,1963,Kon Ichikawa,2,3.84,7.3,3185,tt0057710
984,Night and Fog,1956,Alain Resnais,2,4.56,8.6,23534,tt0048434
985,Vampyr,1932,Carl Theodor Dreyer,2,3.77,7.4,22918,tt0023649
986,Weekend,1967,Jean-Luc Godard,2,3.74,6.9,16746,tt0062480
987,The Hit,1984,Stephen Frears,2,3.67,7,11481,tt0087414
988,State of Siege,1972,Costa-Gavras,2,4.09,7.7,6756,tt0070959
989,The Moment of Truth,1965,Francesco Rosi,2,3.8,7.2,1129,tt0059459
990,Zazie dans le Métro,1960,Louis Malle,2,3.73,6.9,7303,tt0054494
991,Jellyfish Eyes,2013,Takashi Murakami,2,2.59,4.7,617,tt2006181
992,Che: Part Two,2008,Steven Soderbergh,2,3.61,6.8,36493,tt0374569
993,Ali: Fear Eats the Soul,1974,Rainer Werner Fassbinder,2,4.17,8,26103,tt0071141
994,Monsoon Wedding,2001,Mira Nair,2,3.82,7.3,26666,tt0265343
995,Personal Shopper,2016,Olivier Assayas,2,3.38,6.1,45931,tt4714782
996,Corsage,2022,Marie Kreutzer,2,3.47,6.5,11618,tt11992694
997,"Bim, the Little Donkey",1951,Albert Lamorisse,2,3.45,6.6,208,tt0137387
