rank,title,year,director,times_picked,lb_rating,imdb_rating,imdb_votes,imdb
1432,Arsenic and Old Lace,1944,Frank Capra,1,3.97,7.9,77728,tt0036613
1433,Maîtresse,1976,Barbet Schroeder,1,3.41,6.5,2688,tt0074883
1434,Deep Crimson,1996,Arturo Ripstein,1,3.74,7.1,2479,tt0117394
1435,The Times of Harvey Milk,1984,Rob Epstein,1,4.14,8.2,7231,tt0088275
1436,Killer's Kiss,1955,Stanley Kubrick,1,3.15,6.5,28356,tt0048254
1437,Pictures of Ghosts,2023,Kleber Mendonça Filho,1,3.9,7.6,2671,tt27502227
1438,Ossos,1997,Pedro Costa,1,3.66,6.8,1927,tt0119844
1439,Night Moves,1975,Arthur Penn,1,3.77,7.1,21378,tt0073453
1440,Crazed Fruit,1956,Kō Nakahira,1,3.67,7.2,2494,tt0160440
1441,Young Törless,1966,Volker Schlöndorff,1,3.7,7.2,2934,tt0060574
1442,The River,1951,Jean Renoir,1,3.8,7.4,7428,tt0043972
1443,A Man and a Woman,1966,Claude Lelouch,1,4.07,7.5,13660,tt0061138
1444,Sanjuro,1962,Akira Kurosawa,1,4.15,8,43370,tt0056443
1445,Monsieur Verdoux,1947,Charlie Chaplin,1,4,7.8,20659,tt0039631
1446,Antonio Gaudí,1984,Hiroshi Teshigahara,1,3.77,7.2,1874,tt0086907
1447,The Bad Sleep Well,1960,Akira Kurosawa,1,4.12,7.9,15607,tt0054460
1448,Neptune Frost,2021,"Anisia Uzeyman, Saul Williams",1,3.56,6.5,1301,tt11873472
1449,The Circus,1928,Charlie Chaplin,1,4.07,8.1,38677,tt0018773
1450,Safety Last!,1923,"Fred C. Newmeyer, Sam Taylor",1,4.12,8.1,24934,tt0014429
1451,The Order,2024,Justin Kurzel,1,3.48,6.8,63237,tt26625693
1452,The Overnight,2015,Patrick Brice,1,3.12,6.1,18107,tt3844362
1453,Anora,2024,Sean Baker,1,3.78,7.4,295383,tt28607951
1454,Creep,2014,Patrick Brice,1,3.34,6.3,85292,tt2428170
1455,The Double,2013,Richard Ayoade,1,3.58,6.4,55693,tt1825157
1456,Bobi Wine: The People's President,2022,"Moses Bwayo, Christopher Sharp",1,3.56,7.1,1995,tt21376900
1457,Zodiac,2007,David Fincher,1,4.02,7.7,677635,tt0443706
1458,Equinox,1970,"Jack Woods, Dennis Muren",1,2.82,5.2,3922,tt0067055
1459,Él,1953,Luis Buñuel,1,3.98,7.9,7424,tt0045361
1460,The Emigrants,1971,Jan Troell,1,4.22,8,8313,tt0067919
1461,The Strange One,1957,Jack Garfein,1,3.47,6.9,1479,tt0051019
1462,Zorns Lemma,1970,Hollis Frampton,1,3.79,6.4,915,tt0131149
1463,Carrots & Peas,1969,Hollis Frampton,1,2.62,4.2,398,tt0130537
1464,Life Dances On,1937,Julien Duvivier,1,3.74,7.4,1124,tt0029706
1465,Zatoichi and the Chest of Gold,1964,Kazuo Ikehiro,1,3.77,7.3,2022,tt0130377
1466,The Story of the Last Chrysanthemum,1939,Kenji Mizoguchi,1,4.14,7.7,4912,tt0032156
1467,Similarities Between Length and Speed,1937,Jean Painlevé,1,3.35,6,245,tt1446165
1468,May December,2023,Todd Haynes,1,3.64,6.7,73370,tt13651794
1469,Carol,2015,Todd Haynes,1,4.02,7.3,154254,tt2402927
1470,About Dry Grasses,2023,Nuri Bilge Ceylan,1,4.03,7.7,19738,tt13231544
1471,The Steel Helmet,1951,Samuel Fuller,1,3.81,7.4,5220,tt0044072
1472,Le Plaisir,1952,Max Ophüls,1,3.93,7.5,5841,tt0045034
1473,Wild 90,1968,Norman Mailer,1,2.86,3.3,166,tt0062492
1474,Marius,1931,Alexander Korda,1,3.95,7.8,2881,tt0022125
1475,Sweet Movie,1974,Dušan Makavejev,1,3.18,5.9,7004,tt0072235
1476,Samaritan Zatoichi,1968,Kenji Misumi,1,3.54,7.2,1460,tt0164983
1477,Squaring the Circle (The Story of Hipgnosis),2022,Anton Corbijn,1,3.79,7.7,2185,tt10850264
1478,The Wolfpack,2015,Crystal Moselle,1,3.58,7,13889,tt2415458
1479,Scanners,1981,David Cronenberg,1,3.47,6.7,67904,tt0081455
1480,Wooden Crosses,1932,Raymond Bernard,1,3.92,7.7,1951,tt0022787
1481,Jean Painlevé Through His Films,1989,Denis Derrien,1,,7.3,11,tt14721980
1482,The Struggle for Survival,1937,Jean Painlevé,1,3.22,5.7,237,tt1446083
1483,Good Time,2017,"Benny Safdie, Josh Safdie",1,3.98,7.3,157056,tt4846232
1484,Jubal,1956,Delmer Daves,1,3.67,7.1,4974,tt0048233
1485,Descendant,2022,Margaret Brown,1,3.78,7.1,1588,tt16376494
1486,Looking: The Movie,2016,Andrew Haigh,1,3.72,7.5,11418,tt4552118
1487,Certain Women,2016,Kelly Reichardt,1,3.77,6.4,17369,tt4468634
1488,The Lobster,2015,Yorgos Lanthimos,1,3.74,7.1,335403,tt3464902
1489,The Flight of the Phoenix,1965,Robert Aldrich,1,3.71,7.5,24303,tt0059183
1490,Trances,1981,Ahmed El Maânouni,1,3.75,6.7,792,tt0406280
1491,Lilies,1996,John Greyson,1,3.95,7.3,3163,tt0116882
1492,The Man Who Killed Don Quixote,2018,Terry Gilliam,1,3.23,6.3,23930,tt1318517
1493,Gasoline Rainbow,2023,"Turner Ross, Bill Ross",1,3.37,6.4,1645,tt28494031
1494,Monica,2022,Andrea Pallaoro,1,3.58,6.3,1781,tt6337816
1495,Compensation,1999,Zeinabu irene Davis,1,4.02,7.1,394,tt0223027
1496,Sound of Metal,2019,Darius Marder,1,4.21,7.7,187093,tt5363618
1497,La Llorona,2019,Jayro Bustamante,1,3.24,6.6,9181,tt10767168
1498,"Who Are You, Polly Maggoo?",1966,William Klein,1,3.74,6.8,1379,tt0060879
1499,Flowers of Shanghai,1998,Hou Hsiao-hsien,1,3.91,7.3,4640,tt0156587
1500,Bowling for Columbine,2002,Michael Moore,1,3.95,7.9,152395,tt0310793
1501,Pan 697,1974,Hollis Frampton,1,2.53,4,280,tt2187019
1502,Elephant Boy,1937,"Zoltan Korda, Robert Flaherty",1,3.22,6.3,924,tt0028827
1503,Maestro,2023,Bradley Cooper,1,3.14,6.5,69716,tt5535276
1504,Voyage to the Sky,1937,Jean Painlevé,1,3.45,6.6,437,tt0130355
1505,The Inheritance,1962,Masaki Kobayashi,1,3.8,7.4,1303,tt0056135
1506,"Magellan: At the Gates of Death, Part I: The Red Gate I, 0",1976,Hollis Frampton,1,3.23,5.3,252,tt2186935
1507,I Will Buy You,1956,Masaki Kobayashi,1,3.58,6.9,647,tt0134286
1508,The Runner,1984,Amir Naderi,1,4.13,7.6,2911,tt0088992
1509,Lemon,1969,Hollis Frampton,1,3.15,5.3,719,tt0130817
1510,Thirty Two Short Films About Glenn Gould,1993,François Girard,1,3.79,7.3,4250,tt0108328
1511,This Time Tomorrow,2016,Lina Rodríguez,1,3.33,5.9,147,tt5795752
1512,David Golder,1931,Julien Duvivier,1,3.52,7,398,tt0020814
1513,Dragnet Girl,1933,Yasujirō Ozu,1,3.53,6.9,1291,tt0024120
1514,The Return,2024,Uberto Pasolini,1,3.09,6.3,14917,tt19861162
1515,The Vampire,1945,Jean Painlevé,1,3.49,6.6,984,tt0130342
1516,The Velvet Underground,2021,Todd Haynes,1,3.94,7.3,6231,tt7230750
1517,I Know Where I'm Going!,1945,"Michael Powell, Emeric Pressburger",1,3.83,7.4,11424,tt0037800
1518,The Piano Lesson,2024,Malcolm Washington,1,3.27,6.2,5698,tt15507512
1519,The Thief of Bagdad,1940,"Ludwig Berger, Michael Powell, Tim Whelan",1,3.7,7.4,15955,tt0033152
1520,"Orlando, My Political Biography",2023,Paul B. Preciado,1,3.66,7,707,tt26448981
1521,Gravity,2013,Alfonso Cuarón,1,3.51,7.7,902063,tt1454468
1522,The Roaring Twenties,1939,Raoul Walsh,1,4.02,7.9,17501,tt0031867
1523,Oliver Twist,1948,David Lean,1,3.76,7.8,15031,tt0040662
1524,The Incredible Shrinking Man,1957,Jack Arnold,1,3.87,7.6,22158,tt0050539
